Comunidad Autonoma,Periodo,Actividad,Censo,Criminalidad,GastoHogares,GastoProteccionAmbiental,Hipotecas,IngresosMedios,IPC,TipoVivienda,IPV,NumHabitaciones,NumHogares,PIB,Emisiones GEI,Precio del suelo
"03 Asturias, Principado de",2019,50.9,2058278.0,8824.0,27367.02,56016655.0,47896.0,12523.0,98.339,Vivienda segunda mano,109.443,Menos de 3 habitaciones,7.3,1.717,16904.0,114.7
"03 Asturias, Principado de",2019,50.9,2058278.0,8824.0,27367.02,56016655.0,47896.0,12523.0,98.339,Vivienda segunda mano,109.443,Entre 3 y 6 habitaciones,391.3,1.717,16904.0,114.7
"03 Asturias, Principado de",2019,50.9,2058278.0,8824.0,27367.02,56016655.0,47896.0,12523.0,98.339,Vivienda segunda mano,109.443,7 o más habitaciones,55.8,1.717,16904.0,114.7
"03 Asturias, Principado de",2018,51.0,2058278.0,9032.0,27185.87,46268493.0,37436.0,12085.0,97.953,Vivienda nueva,111.382,Menos de 3 habitaciones,4.4,2.033,21372.0,86.9
"03 Asturias, Principado de",2018,51.0,2058278.0,9032.0,27185.87,46268493.0,37436.0,12085.0,97.953,Vivienda nueva,111.382,Entre 3 y 6 habitaciones,395.8,2.033,21372.0,86.9
"03 Asturias, Principado de",2018,51.0,2058278.0,9032.0,27185.87,46268493.0,37436.0,12085.0,97.953,Vivienda nueva,111.382,7 o más habitaciones,52.9,2.033,21372.0,86.9
"03 Asturias, Principado de",2018,51.0,2058278.0,9032.0,27185.87,46268493.0,37436.0,12085.0,97.953,Vivienda segunda mano,105.298,Menos de 3 habitaciones,4.4,2.033,21372.0,86.9
"03 Asturias, Principado de",2018,51.0,2058278.0,9032.0,27185.87,46268493.0,37436.0,12085.0,97.953,Vivienda segunda mano,105.298,Entre 3 y 6 habitaciones,395.8,2.033,21372.0,86.9
"03 Asturias, Principado de",2018,51.0,2058278.0,9032.0,27185.87,46268493.0,37436.0,12085.0,97.953,Vivienda segunda mano,105.298,7 o más habitaciones,52.9,2.033,21372.0,86.9
"03 Asturias, Principado de",2017,50.8,2058278.0,9166.0,26422.45,52774704.0,30803.0,12244.0,96.862,Vivienda nueva,105.636,Menos de 3 habitaciones,5.9,2.825,23264.0,93.15
